REGIÃO ;PAÍS;VALOR DO CONSUMO EM BILHÕES m3;ANO
América do Norte;Canadá;88,2809;2010
América do Norte;Estados Unidos;648,1934509;2010
América do Norte;México;66,04454003;2010
Américas Central e do Sul;Argentina;42,08741656;2010
Américas Central e do Sul;Brasil;27,57677926;2010
Américas Central e do Sul;Chile;5,7397539;2010
Américas Central e do Sul;Colômbia;8,74513777;2010
Américas Central e do Sul;Equador;0,618902244;2010
Américas Central e do Sul;Peru;5,42381738;2010
Américas Central e do Sul;Trinidad e Tobago;20,74008669;2010
Américas Central e do Sul;Venezuela;31,26681662;2010
Américas Central e do Sul;Outros;5,080163743;2010
Europa;Alemanha;88,07125;2010
Europa;Áustria;9,612812106;2010
Europa;Bélgica;19,404;2010
Europa;Bulgária;2,672275;2010
Europa;Croácia;3,061416667;2010
Europa;Dinamarca;5,183978527;2010
Europa;Eslováquia;5,822475;2010
Europa;Eslovênia;1,002804413;2010
Europa;Estônia;0,65425;2010
Europa;Espanha;36,19646815;2010
Europa;Finlândia;4,13;2010
Europa;França;49,56445;2010
Europa;Grécia ;3,729560929;2010
Europa;Holanda;46,75833333;2010
Europa;Hungria;11,41541667;2010
Europa;Irlanda;5,467263;2010
Europa;Itália;79,14990072;2010
Europa;Letônia;1,723414454;2010
Europa;Lituânia;2,898196;2010
Europa;Luxemburgo;1,391630375;2010
Europa;Macedônia;0,110853671;2010
Europa;Noruega;4,081410085;2010
Europa;Polônia;16,23263889;2010
Europa;Portugal;5,188759508;2010
Europa;República Tcheca;9,384875;2010
Europa;Reino Unido;98,49284298;2010
Europa;Romênia;12,5469;2010
Europa;Suécia;1,5468;2010
Europa;Suíça;3,500277778;2010
Europa;Turquia;35,8210325;2010
Europa;Ucrânia;54,56059489;2010
Europa;Outros;3,554298277;2010
Comunidade dos Estados Independentes;Azerbaijão;8,14487505;2010
Comunidade dos Estados Independentes;Belarus;20,72836283;2010
Comunidade dos Estados Independentes;Cazaquistão;11,02429848;2010
Comunidade dos Estados Independentes;Rússia;423,9202249;2010
Comunidade dos Estados Independentes;Turcomenistão;18,27188577;2010
Comunidade dos Estados Independentes;Uzbequistão;44,044;2010
Comunidade dos Estados Independentes;Outros;5,150063046;2010
Oriente Médio;Arábia Saudita;83,277;2010
Oriente Médio;Catar;25,40573979;2010
Oriente Médio;Coveite;13,97553795;2010
Oriente Médio;Emirados Árabes Unidos;59,27164425;2010
Oriente Médio;Irã;144,3893986;2010
